,time,et_x,et_y,et_z,head_pos_x,head_pos_y,head_pos_z,class_disp
0,1578642354102842,0.07688904,-0.13702393,0.98756409,-0.0753,1.18425,0.38061,0
1,1578642354106844,0.07688904,-0.13702393,0.98756409,-0.07507,1.18438,0.38057,0
2,1578642354110849,0.07595825,-0.13693237,0.98765564,-0.07507,1.18438,0.38057,0
3,1578642354114849,0.07595825,-0.13693237,0.98765564,-0.07507,1.18438,0.38057,0
4,1578642354118853,0.07478333,-0.13893127,0.98747253,-0.07507,1.18439,0.38057,0
5,1578642354122835,0.07478333,-0.13893127,0.98747253,-0.07507,1.18439,0.38057,0
6,1578642354126829,0.07478333,-0.13893127,0.98747253,-0.07505,1.18442,0.38056,0
7,1578642354130847,0.07394409,-0.13853455,0.98757935,-0.07505,1.18442,0.38056,0
8,1578642354134844,0.07394409,-0.13853455,0.98757935,-0.07505,1.18442,0.38055,0
9,1578642354138826,0.07365417,-0.13891602,0.98754883,-0.07505,1.18442,0.38055,0
10,1578642354142828,0.07365417,-0.13891602,0.98754883,-0.07524,1.18432,0.38058,0
11,1578642354146817,0.07240295,-0.14041138,0.98742676,-0.07524,1.18432,0.38058,0
12,1578642354150823,0.07240295,-0.14041138,0.98742676,-0.07522999999999999,1.18433,0.38057,0
13,1578642354154820,0.07234192,-0.13975525,0.98753357,-0.07522999999999999,1.18433,0.38057,0
14,1578642354158827,0.07234192,-0.13975525,0.98753357,-0.07522999999999999,1.18433,0.38055,0
15,1578642354162807,0.07154846,-0.14064026,0.98745728,-0.07522999999999999,1.18433,0.38055,0
16,1578642354166821,0.07154846,-0.14064026,0.98745728,-0.07506,1.18446,0.38047,0
17,1578642354170817,0.07199097,-0.14083862,0.98739624,-0.07506,1.18446,0.38047,0
18,1578642354175827,0.07199097,-0.14083862,0.98739624,-0.07515,1.18443,0.38047,0
19,1578642354179597,0.07385254,-0.14263916,0.98699951,-0.07515,1.18443,0.38047,0
20,1578642354184819,0.07481384,-0.14302063,0.98687744,-0.07505,1.18452,0.38046,0
21,1578642354188828,0.07481384,-0.14302063,0.98687744,-0.07505,1.18452,0.38046,0
22,1578642354194857,0.07496643,-0.14344788,0.98680115,-0.07505,1.18452,0.38046,0
23,1578642354198834,0.07496643,-0.14344788,0.98680115,-0.07497000000000001,1.1846,0.38041,0
24,1578642354202819,0.07489014,-0.14726257,0.98625183,-0.07497000000000001,1.1846,0.38041,0
25,1578642354206814,0.07489014,-0.14726257,0.98625183,-0.07497000000000001,1.1846,0.38041,0
26,1578642354210823,0.07484436,-0.15003967,0.98583984,-0.07497000000000001,1.1846,0.38041,0
27,1578642354215800,0.07484436,-0.15003967,0.98583984,-0.07497000000000001,1.1846,0.38041,0
28,1578642354219792,0.07489014,-0.1522522,0.98548889,-0.075,1.18464,0.38038,0
29,1578642354223793,0.07489014,-0.1522522,0.98548889,-0.075,1.18464,0.38038,0
30,1578642354227801,0.07388306,-0.14497375,0.98666382,-0.075,1.18464,0.38037,0
31,1578642354231789,0.07388306,-0.14497375,0.98666382,-0.075,1.18464,0.38037,0
32,1578642354235811,0.07427979,-0.14794922,0.9861908,-0.075,1.18464,0.38037,0
33,1578642354243789,0.07427979,-0.14794922,0.9861908,-0.07507,1.1846299999999998,0.38035,0
34,1578642354247782,0.07427979,-0.14776611,0.98622131,-0.07507,1.1846299999999998,0.38035,0
35,1578642354252920,0.07431030000000001,-0.14866638,0.98608398,-0.07507,1.1846299999999998,0.38035,0
36,1578642354256905,0.07431030000000001,-0.14866638,0.98608398,-0.07507,1.1846299999999998,0.38035,0
37,1578642354260899,0.07408142,-0.1486969,0.98609924,-0.07507,1.1846299999999998,0.38035,0
38,1578642354264907,0.07408142,-0.1486969,0.98609924,-0.07518,1.18453,0.38034,0
39,1578642354268916,0.07482910000000001,-0.1486969,0.98603821,-0.07518999999999999,1.18453,0.38034,0
40,1578642354274890,0.07482910000000001,-0.1486969,0.98603821,-0.07518999999999999,1.18453,0.38034,0
41,1578642354278887,0.07495117,-0.14955139,0.98590088,-0.07518999999999999,1.18452,0.38035,0
42,1578642354282894,0.07495117,-0.14955139,0.98590088,-0.07518999999999999,1.18452,0.38035,0
43,1578642354286890,0.07525635,-0.14906311,0.98594666,-0.07525,1.18448,0.38037,0
44,1578642354290904,0.07525635,-0.14906311,0.98594666,-0.07525,1.18448,0.38037,0
45,1578642354295212,0.07447815,-0.14909363,0.98600769,-0.07525,1.18448,0.38037,0
46,1578642354303571,0.07447815,-0.14909363,0.98600769,-0.07525,1.18448,0.38037,0
47,1578642354319475,0.07771301,-0.15066528,0.98551941,-0.07515,1.18459,0.38034,0
48,1578642354323499,0.07771301,-0.15066528,0.98551941,-0.07515,1.18459,0.38034,0
49,1578642354338548,0.08166504,-0.15109253,0.98513794,-0.07515,1.1846,0.38033,0
50,1578642354342490,0.08166504,-0.15109253,0.98513794,-0.07515,1.1846,0.38033,0
51,1578642354378560,0.08605957,-0.15132141,0.98472595,-0.07533,1.18466,0.38026,0
52,1578642354382532,0.08605957,-0.15132141,0.98472595,-0.07533,1.18466,0.38026,0
53,1578642354388991,0.08615112,-0.15141296,0.98469543,-0.07533,1.18466,0.38026,0
54,1578642354392501,0.08615112,-0.15141296,0.98469543,-0.07533,1.18466,0.38026,0
55,1578642354397078,0.08699036,-0.15176392,0.98457336,-0.07533,1.18466,0.38025,0
56,1578642354401068,0.08699036,-0.15176392,0.98457336,-0.07533,1.18466,0.38025,0
57,1578642354405282,0.08898926,-0.15129089,0.98446655,-0.07533,1.18466,0.38025,0
58,1578642354420134,0.08895874,-0.15074158,0.98455811,-0.07531,1.18467,0.3802,0
59,1578642354424291,0.08895874,-0.15074158,0.98455811,-0.07524,1.1847,0.38018,0
60,1578642354435252,0.09121704,-0.14997864,0.98446655,-0.07532,1.18464,0.38018,0
61,1578642354439284,0.09121704,-0.14997864,0.98446655,-0.07532,1.18464,0.38018,0
62,1578642354453998,0.09292603,-0.15460205,0.98358154,-0.07546,1.18456,0.38016,0
63,1578642354458116,0.09292603,-0.15460205,0.98358154,-0.07546,1.18456,0.38016,0
64,1578642354470109,0.09284973,-0.15769958,0.98310852,-0.07546,1.18456,0.38016,0
65,1578642354474171,0.09284973,-0.15769958,0.98310852,-0.07546,1.18456,0.38016,0
66,1578642354484238,0.09283447,-0.15769958,0.98310852,-0.07546,1.18457,0.38016,0
67,1578642354488237,0.0927887,-0.15814209,0.98303223,-0.07541,1.1846,0.38014,0
68,1578642354496227,0.09277344,-0.15727234,0.98316956,-0.07541,1.1846,0.38014,0
69,1578642354500283,0.09277344,-0.15727234,0.98316956,-0.07541,1.1846,0.38014,0
70,1578642354506218,0.09283447,-0.15719604,0.98318481,-0.07555,1.1845,0.38012,0
71,1578642354516098,0.09294128,-0.15736389,0.9831543,-0.07555,1.1845,0.38012,0
72,1578642354520096,0.09294128,-0.16140747,0.98249817,-0.07555,1.1845,0.38012,0
73,1578642354524102,0.09294128,-0.16140747,0.98249817,-0.07558,1.18451,0.38011,0
74,1578642354532087,0.09114075,-0.16140747,0.98266602,-0.07565,1.18449,0.38016,0
75,1578642354536247,0.08789063,-0.16145325,0.98295593,-0.07565,1.18449,0.38016,0
76,1578642354550133,0.10221863,-0.15594482,0.98245239,-0.07562,1.18452,0.38016,1
77,1578642354553425,0.11616516,-0.15184021,0.98155212,-0.07562,1.18452,0.38016,1
78,1578642354557403,0.11616516,-0.15184021,0.98155212,-0.07562,1.18452,0.38016,1
79,1578642354565207,0.17478943,-0.14875793,0.97329712,-0.07562,1.18452,0.38016,1
80,1578642354569205,0.23210144,-0.14506531,0.96180725,-0.07562,1.18452,0.38016,1
81,1578642354575223,0.23210144,-0.14506531,0.96180725,-0.07534,1.18468,0.38016,1
82,1578642354579210,0.25704956,-0.1864624,0.94822693,-0.07534,1.18468,0.38016,1
83,1578642354583201,0.25704956,-0.1864624,0.94822693,-0.07534,1.18468,0.38016,1
84,1578642354587211,0.29719543,-0.17700195,0.93826294,-0.07527,1.18472,0.38014,0
85,1578642354591194,0.29719543,-0.17700195,0.93826294,-0.07527,1.18472,0.38014,0
86,1578642354596182,0.30148315,-0.16038513,0.93988037,-0.07529,1.1847,0.38014,0
87,1578642354600183,0.30148315,-0.16038513,0.93988037,-0.07529,1.1847,0.38014,0
88,1578642354604201,0.30343628,-0.16679382,0.93812561,-0.07529,1.1847,0.38014,0
89,1578642354608183,0.30343628,-0.16679382,0.93812561,-0.07529,1.1847,0.38014,0
90,1578642354612193,0.31031799,-0.17016602,0.93527222,-0.07529,1.1847,0.38014,0
91,1578642354618189,0.31031799,-0.17016602,0.93527222,-0.07531,1.18462,0.38016,0
92,1578642354622189,0.31837463,-0.16772461,0.93299866,-0.07531,1.18462,0.38016,0
93,1578642354627180,0.3170166,-0.1690979,0.93321228,-0.07531,1.18462,0.38016,0
94,1578642354631176,0.3170166,-0.1690979,0.93321228,-0.07532,1.18462,0.38016,0
95,1578642354635164,0.31581116,-0.16786194,0.93385315,-0.07532,1.18462,0.38016,0
96,1578642354639290,0.31581116,-0.16786194,0.93385315,-0.0755,1.18453,0.38021,0
97,1578642354643174,0.31491089,-0.16346741,0.93492126,-0.0755,1.18453,0.38021,0
98,1578642354649177,0.31491089,-0.16346741,0.93492126,-0.0756,1.18448,0.38025,0
99,1578642354653194,0.3135376,-0.1660614,0.93493652,-0.0756,1.18448,0.38025,0
100,1578642354659188,0.31304932,-0.16491699,0.93530273,-0.0756,1.18448,0.38025,0
101,1578642354663172,0.31304932,-0.16491699,0.93530273,-0.0756,1.18448,0.38025,0
102,1578642354669167,0.31259155,-0.1640625,0.93560791,-0.07562999999999999,1.18445,0.38027,0
103,1578642354673163,0.31259155,-0.1640625,0.93560791,-0.07562999999999999,1.18445,0.38027,0
104,1578642354677176,0.31204224,-0.16479492,0.93565369,-0.07562999999999999,1.18445,0.38027,0
105,1578642354684163,0.31204224,-0.16479492,0.93565369,-0.07579,1.18435,0.38031,0
106,1578642354688172,0.31202698,-0.165802,0.93548584,-0.0758,1.18435,0.38031,0
107,1578642354693160,0.3115387,-0.1675415,0.93533325,-0.07583,1.18434,0.38033,0
108,1578642354697157,0.3115387,-0.1675415,0.93533325,-0.07583,1.18434,0.38033,0
